SampleN,SumTS,Li_S,Be_S,Na_S,Mg_S,K_S,Ca_S,Sc_S,Ti_S,V_S,Cr_S,Mn_S,Fe_S,Co_S,Ni_S,Cu_S,Zn_S,Ga_S,Ge_S,As_S,Rb_S,Sr_S,Y_S,Zr_S,Nb_S,Mo_S,Cd_S,Sn_S,Sb_S,Cs_S,Ba_S,La_S,Ce_S,Pr_S,Nd_S,Sm_S,Eu_S,Gd_S,Tb_S,Dy_S,Ho_S,Er_S,Yb_S,Hf_S,Pb_S,Th_S,AN,AP,AK,pH,EC,NH4_N,NO3_N,N.N,TN,OM,SoilType,Longitude,Latitude,ALT_extract,Landscape,DI,GDD0,GDD5,GP,MI,MTCO,MTWA,Tmax,Tmin
D1_1_11,3.12807097,39.3395,1.437,420.5945,12611.0,7881.5,52205.0,8.6505,1031.5,67.232,49.5105,696.0,30059.0,11.5545,29.2135,19.3885,68.8075,13.637,4.3215,14.746,51.9535,119.904,15.6705,13.899,4.1305,0.7845,0.2105,3.0495,0.7175,5.822,200.383,34.14,70.8705,7.7505,29.3605,5.631,1.02,4.753,0.609,3.2945,0.582,1.6025,1.3365,0.3435,15.9785,11.0105,137.214,4.187771707,44.86,8.33,159.5,5.84,5.07,10.91,794.8248,5.122559797,Roam,110.59868,34.720793,673,Flat,0.417946994,4527.600098,3108.5,811.5999756,0.462357014,-1.899999976,24.89999962,39.00999832,-17.87000084
D1_1_12,2.33516884,38.6015,1.398,395.817,12264.5,7225.5,52986.0,8.284,994.0,66.7435,48.6695,683.5,29395.5,11.894,29.7135,19.8575,71.388,13.648,4.418,15.0615,50.0495,121.9695,15.4515,11.834,4.0215,0.8625,0.221,3.329,0.945,5.8065,194.277,34.7855,72.5155,7.9565,30.3065,5.7745,1.032,4.83,0.6095,3.261,0.5695,1.558,1.2845,0.254,16.319,11.414,60.06,17.21,293.53,8.39,162.6,,,,,,Roam,110.59868,34.720793,673,Flat,0.417946994,4527.600098,3108.5,811.5999756,0.462357014,-1.899999976,24.89999962,39.00999832,-17.87000084
D1_1_14,2.15060592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.958,2.989953755,67.58,8.25,178.5,5.9,9.61,15.51,934.9186,11.11022565,Roam,110.59868,34.720793,673,Flat,0.417946994,4527.600098,3108.5,811.5999756,0.462357014,-1.899999976,24.89999962,39.00999832,-17.87000084
D2_1_1,0.65341443,26.81468408,0.880360066,731.5149013,8522.821155,3894.742978,31761.17431,4.14757172,752.4403416,34.18228874,33.29085246,493.0042844,23221.4395,9.179216692,23.86158376,24.25557235,38.40251137,5.295216977,2.825533427,10.86825692,23.92570143,52.97155585,8.91612311,2.834926828,2.04634871,0.784532371,0.139132359,4.44532587,0.727957757,3.350094459,95.72844463,18.44867338,37.971796,4.39640517,16.43882308,3.187755315,0.618731754,3.327309418,0.392203257,1.872777492,0.32965254,0.867229308,0.683407864,0.099092465,12.41843651,5.062457329,143.99,8.881880963,113.6,8.21,165.3,5.84,3.93,9.77,906.6288,13.961885,Roam,110.873296,35.371435,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_1_2,0.60383613,28.64053347,1.068813932,616.9797077000001,9220.427797,4331.227399,34393.96023,4.530382894,800.2892394,37.38390774,35.27796572,534.4921167,24977.46978,9.692088835,25.55812327,28.51793746,45.17157719,5.77227506,2.909920767,11.69630876,25.16876881,56.89912355,9.479138893,3.314626192,2.347657772,0.754600427,0.154826949,4.844188435,0.840726437,3.448389812,100.6884764,19.65683361,40.00361208,4.654283365,17.33683174,3.352928606,0.641759576,3.496516809,0.407789159,1.921403061,0.345931916,0.908907992,0.701178457,0.111020437,12.85422359,5.241838467,271.2094,10.97497705,130.26,8.18,178.6,4.91,7.98,12.89,1033.1706,12.00378003,Roam,110.873296,35.371435,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_1_3,0.47987713,29.90875027,0.92267853,673.9738264,9426.535844,4137.035067,36135.79703,4.504226707,801.6305807,36.06716675,34.88029333,530.6979539,24898.40169,9.798125745,25.28128439,25.65531391,40.25374074,5.626004597,2.731728625,11.37489034,24.79199596,58.99136674,9.062682934,2.941459743,1.847792587,0.70151821,0.154807156,5.312916419,0.74738952,3.404745685,97.95402889,18.77399111,38.33565678,4.401063192,16.42606983,3.198309008,0.606329968,3.274860318,0.38376083,1.833562363,0.330705048,0.858951948,0.67368575,0.086903962,12.44285239,5.233888048,431.97,5.997121382,73.76,8.18,176.3,3.8,3.76,7.56,899.3446,14.03988506,Roam,110.873296,35.371435,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_1_4,0.66220949,29.63215498,0.880144083,593.449882,9265.130122,4448.448259,34479.3474,4.475593529,776.2482985,37.09619602,35.43107566,544.3670707,24921.84105,10.02641919,25.75198453,27.48115505,45.74598633,5.781383051,2.617796114,11.82163771,25.36109392,58.9607796,9.387510559,2.990554634,2.114696016,0.696406396,0.162818719,4.529090647,0.734622053,3.436834225,101.907124,18.51538283,38.42918698,4.380357002,16.39409054,3.223123944,0.614013018,3.272791797,0.391056199,1.864241344,0.337340503,0.900607679,0.697623481,0.091841107,13.16753889,5.126108349,269.346,18.44319496,91.58,8.19,171.8,5.13,6.64,11.77,1288.9646,14.7105802,Roam,110.873296,35.371435,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_1_5,0.44207692,29.63814999,0.942562605,737.0980467,9869.667897,4350.156208,37044.07161,4.617552811,819.9581991,39.23302113,38.05676749,582.2784419,26602.5861,10.54108022,27.47814238,29.37012006,48.33202263,6.058781879,2.692369127,12.32485432,26.8752539,61.65251878,9.703663393,3.470515386,2.202907345,0.645697653,0.149669921,4.811589623,0.788414665,3.590043682,106.6938376,19.65905175,40.34054841,4.64784181,17.98874552,3.43943518,0.650588978,3.496784952,0.413523166,2.0052677,0.361729958,0.919621708,0.722649773,0.108075137,13.66652052,5.317587721,147.378,19.15403033,98.0,8.29,168.5,6.02,5.61,11.63,1223.4068,17.55923166,Roam,110.873296,35.371435,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_1_6,1.80361269,28.35613042,0.910761936,837.0589494,9683.859975,4398.984458,36523.59901,4.488124189,811.0925085,37.36272297,36.03517718,531.733897,25084.48138,9.815891762,25.669167,25.82170843,39.28000299,5.657098726,2.445193752,11.29393847,24.89686265,57.12096658,9.014726603,2.833353022,1.913250292,0.606548589,0.124822092,4.32761966,0.708542034,3.283663806,95.40817867,17.67601362,35.87637825,4.112863777,15.32495356,2.966860863,0.586269409,3.059665815,0.362293951,1.733329097,0.314091852,0.79828001,0.643235738,0.080128327,11.64740526,4.562019104,267.652,7.389654484,101.32,8.26,160.3,5.11,3.65,8.76,914.5906,17.09467825,Roam,110.873296,35.371435,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_1_7,1.57654778,30.72724293,1.137513393,747.6978744,9905.988166,4514.657101,37100.59359,4.846224689,849.7542708,39.60061381,38.4160144,566.0704526,26381.46215,10.48540233,27.37820611,26.9196303,41.00070363,6.030720568,2.46296877,12.0629836,27.02636272,59.60778755,9.561499028,3.467615372,2.072864779,0.596252963,0.155986061,4.531438095,0.743356628,3.541481796,103.5097542,19.21711551,39.55502852,4.521047745,16.88721015,3.242032344,0.628816402,3.374516328,0.396691956,1.889929776,0.330755326,0.879290686,0.697778568,0.103026335,14.69089386,5.449906668,140.602,8.889687962,91.68,8.29,163.7,4.53,4.54,9.07,830.907,12.27941467,Roam,110.873296,35.371435,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_1_8,0.80089519,19.34811445,0.686902395,663.3302977999999,6355.026042,3024.895344,23380.98405,3.002034453,525.4193754,24.60873889,23.96718608,357.2275277,16559.02825,6.576620486,17.50156184,24.19135616,36.98436201,3.847220854,1.502481049,7.464733562,16.39695504,37.8501064,6.023403217,1.37785235,1.2570496,0.370798358,0.123299029,3.651434097,0.430944027,2.053817956,66.20886762,11.74307114,23.84570589,2.749370612,10.26059368,2.007203932,0.373920932,1.977540597,0.235599011,1.143286538,0.198943424,0.523990487,0.420484555,0.03108491,8.10553112,2.823279173,322.8764,7.392902813,131.24,8.24,173.0,4.8,5.76,10.56,877.3226,10.84608122,Roam,110.873296,35.371435,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_1_9,0.65425885,18.01261786,0.520476643,636.6049715,6137.535845,2806.048615,22575.40735,2.857260288,508.2216172,23.62096547,22.36266853,335.5777279,15673.80396,6.126828336,16.34741872,20.65812523,28.80995043,3.616693464,1.362274385,7.303147644,15.50057857,37.31915734,5.746417859,1.130681867,1.096435593,0.32277805,0.102978765,3.401061116,0.395477887,1.93760934,62.75316716,10.85157769,22.06170223,2.537654096,9.395319163,1.877753297,0.349782082,1.88628172,0.227072511,1.063657078,0.185565981,0.496549357,0.381467523,0.025391442,7.599978708,2.591195243,188.034,5.883526127,199.98,8.17,160.3,5.62,4.85,10.47,812.9506,13.58667086,Roam,110.873296,35.371435,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_1_10,0.85140201,21.48037743,0.726142913,784.8016332,6974.276909,3367.417959,25814.39022,3.364040939,560.4521483,27.49682803,26.17418505,395.7197939,17836.12487,7.240765794,19.46011009,24.59958096,41.45973353,4.236577542,1.545017766,8.133537334,18.32058162,42.94872074,6.417194368,1.543616642,1.377385457,0.40724754,0.132535811,3.714532161,0.472205402,2.236911623,72.03172977,12.65103158,25.79106189,2.898406996,10.78675052,2.058293523,0.39995752,2.084667917,0.251047423,1.196142949,0.218287331,0.555341155,0.430581366,0.035929541,9.225829352,2.781120827,321.013,15.65054428,123.14,8.19,160.2,5.02,6.07,11.09,1176.9912,12.64751587,Roam,110.873296,35.371435,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_1_11,1.72878365,22.88000808,0.706727552,797.8950264,7794.869122,3542.556969,28100.43218,3.713143328,647.2308177,30.03116138,29.38912029,420.0427726,19786.40238,7.781944533,20.70958246,23.27463848,34.96824228,4.606683887,1.64189146,9.007784173,19.76038327,46.5721275,7.209129572,1.723216233,1.240902452,0.393557265,0.134131777,4.353902394,0.515647766,2.419849442,76.50423575,13.34323666,27.13368198,3.085606791,11.48862113,2.239289132,0.430060627,2.284773987,0.272154481,1.281266583,0.233386438,0.615352568,0.483703187,0.039082111,9.635361899,3.209909014,188.034,5.782882667,88.62,8.16,161.7,5.36,6.24,11.6,782.4586,17.14221907,Roam,110.873296,35.371435,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_1_12,2.24601036,17.51515475,0.586798631,640.6073259,5803.85909,2722.566792,21179.7865,2.811148997,488.8079713,23.07295501,22.34063139,328.2592546,15551.22697,6.257973111,16.10616577,18.24061123,28.30287607,3.541201544,1.26208097,6.952920908,15.73523417,35.56674605,5.75141626,1.349441493,1.081939437,0.340933597,0.116860583,3.448058119,0.411909857,1.987138342,62.38391966,11.2380905,23.0864175,2.600622334,9.619021889,1.840706564,0.357362787,1.913697816,0.227281577,1.091906574,0.196994539,0.515492155,0.409496508,0.030460757,7.93061986,2.961840638,210.903,6.88567779,104.6,8.18,157.0,4.31,4.75,9.06,904.0878,10.70954052,Roam,110.873296,35.371435,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_1_13,1.67423555,21.16736654,0.659267391,598.2169747,6812.704227,3105.208272,25313.80295,3.267356481,576.434256,27.65929664,26.86398502,390.6655843,18555.28456,7.426544609,19.5921432,22.1119616,33.94230856,4.246451243,1.450344999,8.386700795,18.76159961,43.75672371,7.00490293,1.966777873,1.235633092,0.4061773,0.141638959,4.263103314,0.5441352,2.430054057,78.38890121,13.75498457,28.70384345,3.225021947,11.985023,2.336683373,0.458232032,2.387672329,0.294553914,1.387007193,0.243034036,0.645538929,0.516500517,0.050474551,10.699322,3.713408771,188.034,5.586592179,88.78,8.2,157.4,5.94,3.26,9.2,697.7586,13.01529746,Roam,110.873296,35.371435,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_1_14,2.75630899,19.94294429,0.692341311,749.8345134,6386.613136,2946.371957,24043.60563,3.096069196,556.6383273,26.23316858,25.17356833,374.5318412,17492.31097,7.088180276,18.49698838,22.56947905,38.39414329,3.955718463,1.348854802,8.226912936,17.90908574,42.34564018,6.533481471,2.237107925,1.219838652,0.394568411,0.151834435,3.885907615,0.516978994,2.337169821,74.94489828,12.92382206,26.42676521,2.973135415,11.11698317,2.173451446,0.421126678,2.211604854,0.263468272,1.286781515,0.227876452,0.597833787,0.471585623,0.054869323,9.73807332,3.443647444,267.652,6.193558699,92.6,8.22,191.4,4.39,4.51,8.9,811.9342,13.2968607,Roam,110.873296,35.371435,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_1_15,2.49807364,17.01665228,0.48976566,503.3190874,5512.305112,2586.270617,20342.26512,2.718904002,465.7051525,22.38439213,21.24166488,314.7101546,14828.58062,5.886561609,15.37603798,17.68769409,26.28489384,3.473903162,1.139124279,6.918274712,15.10402685,34.71493169,5.47349509,1.012415448,0.884006403,0.301385932,0.108317182,3.231210938,0.402069571,1.899837526,61.38287186,10.75137619,21.93502145,2.465169819,9.266742429,1.780508876,0.338692651,1.779287799,0.215676088,1.046985272,0.184792725,0.48436374,0.38043648,0.023750737,7.466959129,2.579831953,138.908,6.198760248,87.26,8.24,163.1,4.98,3.68,8.66,924.7546,13.49385873,Roam,110.873296,35.371435,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_2_1,1.4200936,16.68772427,0.600146189,693.6637576,6304.152503,2313.026031,27888.33652,2.753076827,467.3102028,22.68714965,20.00165387,318.0636664,15590.81468,6.266914366,16.10875853,17.30944096,34.85323309,3.670933748,1.399291819,7.344731149,16.10801077,47.77033278,6.158621797,1.707979396,1.155679355,0.469117854,0.121472041,3.809459327,0.468817965,2.337735295,74.10280107,12.06407582,24.4103705,2.898081399,10.89622152,2.157323142,0.412406336,2.126948026,0.271625702,1.288118936,0.230009618,0.591861977,0.487105364,0.046191854,9.484385292,3.557060876,221.2364,6.095367521,58.42,8.34,170.9,6.18,3.59,9.77,846.4918,9.652130543,Roam,110.873,35.371,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_2_2,1.5323692,17.14127978,0.584832353,522.5600615999999,6330.746222,2436.580424,29432.3757,2.862725712,480.6559636,23.49877104,26.3062534,330.5754726,16231.89779,6.520517948,16.11366615,16.83128725,27.77123761,3.786484851,1.458802393,7.392433982,16.29211223,47.42683522,6.351882591,2.099198819,1.097853696,0.407182139,0.091167169,3.774078657,0.507633414,2.376116409,74.8984612,12.97738152,26.5868296,3.097220907,11.67490529,2.278588256,0.426960977,2.233299162,0.277463015,1.347704935,0.238934817,0.605936644,0.484148456,0.056796476,8.722577415,4.19409066,186.34,7.583014049,90.38,8.34,204.0,9.47,3.91,13.38,731.6386,9.240613577,Roam,110.873,35.371,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_2_3,1.50317172,17.51893283,0.580032278,722.4768577,6999.379472,2742.89633,31147.5445,3.206389573,526.8552444,25.59997515,23.37912442,354.2324462,17444.57037,6.965721895,17.71604799,18.05895596,38.05086253,4.167170863,1.534920175,8.026352726,17.62907829,51.63072401,6.844956586,1.976416982,1.186382129,0.448649011,0.124329571,4.009120511,0.467479075,2.494510852,80.24136026,13.64280107,27.48082482,3.191500751,11.97554855,2.362494864,0.454585974,2.35951691,0.28704671,1.410133113,0.251658882,0.649571857,0.530462229,0.049284946,9.70807731,4.136727347,214.291,5.781960284,91.86,8.28,209.0,6.73,12.42,19.15,817.1856,11.37629745,Roam,110.873,35.371,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_2_4,1.47309498,16.61306762,0.62291012,713.3106636,6917.951036,2545.81136,30994.77554,2.94911593,491.9627246,24.12068591,21.7060993,344.2818821,16519.78532,6.687908732,17.49077693,18.30597479,40.96480752,4.014473828,1.373664963,7.677709104,16.95667999,53.27156446,6.522559971,1.673926683,1.018551958,0.353717673,0.137735721,3.859838348,0.44013009,2.375590943,79.0942423,13.05229297,26.2505275,3.010079111,11.28746671,2.246787991,0.438646016,2.251477176,0.273234946,1.326980809,0.235360832,0.606805267,0.488980881,0.033436051,9.576090748,3.467084414,121.968,4.297593348,68.16,8.28,193.8,6.96,5.71,12.67,719.7806,10.58335672,Roam,110.873,35.371,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_2_5,2.45955994,18.6095854,0.68888773,473.96422249999995,7140.716624,2800.103262,31083.23085,3.180409565,527.6318009,25.98593068,23.01882512,367.5229178,17814.59117,7.137010051,17.83787701,18.34581346,37.19597794,4.237389873,1.541593376,8.107113798,18.50698394,51.26535032,6.989378729,1.818576216,1.23247404,0.401838189,0.134983415,4.121465496,0.500172381,2.619878858,80.68566463,13.57924041,27.7605251,3.255600571,12.21791161,2.389809673,0.459075692,2.367860659,0.29782437,1.445389409,0.254789342,0.653206702,0.542144732,0.04571656,10.08825726,3.831765592,214.291,6.681558897,94.92,8.27,173.8,5.32,8.54,13.86,848.1858,11.63702567,Roam,110.873,35.371,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_2_6,2.92013651,18.31213698,0.654847325,560.1616116,7266.722205,2735.860248,31547.60362,3.18119331,525.8754343,26.08134786,22.87123808,364.1776339,18014.37878,7.217569045,18.34583765,19.22751182,35.81254167,4.340178171,1.605374158,8.370337845,18.3479061,53.47465933,7.054697735,1.64174191,1.20733795,0.367239159,0.134892222,4.25951052,0.49451656,2.578166285,83.21950297,14.16961125,28.88161324,3.327351535,12.5201124,2.454453434,0.466697108,2.423242695,0.297453021,1.472758692,0.258353939,0.691962641,0.536395641,0.038122773,10.14763778,4.216364087,137.214,4.984249771,71.78,8.25,183.0,6.6,4.71,11.31,831.5846,12.21307004,Roam,110.873,35.371,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
D2_2_7,1.18911426,20.29785883,0.695239717,642.6135675,7898.727471,3090.263879,34568.21083,3.533990889,595.4722923,28.67692465,25.77093889,399.0439401,19689.14727,7.840911014,19.84662423,19.19800246,33.17818091,4.71383614,1.74771539,9.040574885,20.73849743,58.14151982,7.736786928,2.706215594,1.420941407,0.396503405,0.127492506,4.632869884,0.576508354,2.862632464,91.8117948,15.72377173,31.81824205,3.674954092,13.88947066,2.741188623,0.536045882,2.698440899,0.328304537,1.629703458,0.285280729,0.754903147,0.609534686,0.076853204,11.35953388,4.539408295,217.8484,5.483549352,79.48,8.25,178.4,5.43,3.81,9.24,949.6564,14.02024802,Roam,110.873,35.371,679,Flat,0.477900982,4571.399902,3172.5,817.2000122,0.414772004,-2.400000095,25.5,39.63999939,-19.44000053
